passage_id,chapter,chapter_num,chapter_short,section,subsection,heading,matrix_section,page,kind,text,word_count,cluster,cluster_name,x,y,neighbors,neighbor_sims,section_typicality
p0001,Part 1: General Information,1,P1 General Information,,,,Other (P1),10,text,"Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together.",61,5,Campus Life & DKU Identity,4.9149,9.1472,p0006|p0009|p0022|p0361|p0018,0.864|0.793|0.785|0.782|0.775,0.8561999797821045
p0002,Part 1: General Information,1,P1 General Information,,,,Other (P1),10,text,"Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe. We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict.",90,9,Major Overviews & Tracks,7.9379,8.0572,p0517|p0023|p0348|p0353|p0585,0.530|0.490|0.481|0.457|0.452,0.5396000146865845
p0003,Part 1: General Information,1,P1 General Information,,,,Other (P1),10,text,"Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take through DKU and beyond.",40,5,Campus Life & DKU Identity,4.5931,8.6991,p0006|p0338|p0001|p0330|p0366,0.552|0.526|0.497|0.478|0.474,0.6556000113487244
p0004,Part 1: General Information,1,P1 General Information,,,,Other (P1),10,text,"--Prof. Youmei Feng, Chancellor --Dr. Al Bloom, Executive Vice Chancellor",10,9,Major Overviews & Tracks,8.2706,8.0464,p0010|p0393|p0517|p0453|p0005,0.614|0.339|0.335|0.311|0.310,0.489300012588501
p0005,Part 1: General Information,1,P1 General Information,Mission Statement,,,Other (P1),10,text,"Duke Kunshan University is a highly selective research-oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purposeful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four-year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom. Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint-venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.",141,5,Campus Life & DKU Identity,5.2847,9.1571,p0009|p0007|p0019|p0022|p0025,0.848|0.807|0.806|0.784|0.784,0.8288999795913696
p0006,Part 1: General Information,1,P1 General Information,Statement on Diversity and Inclusion,,,Other (P1),10,text,"Duke Kunshan University welcomes passionate, creative, and intellectually-driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio-economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.",146,5,Campus Life & DKU Identity,4.8359,8.8702,p0001|p0018|p0009|p0005|p0361,0.864|0.799|0.756|0.755|0.745,0.8921999931335449
p0007,Part 1: General Information,1,P1 General Information,Who We Are,,,Who We Are,11,text,"Duke Kunshan University is a Sino-American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world-class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint-venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class. The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration.",122,8,"Credit Transfer, Placement & Study Away",4.9131,9.5384,p0005|p0070|p0071|p0082|p0021,0.807|0.799|0.791|0.783|0.782,0.9071999788284302
p0008,Part 1: General Information,1,P1 General Information,Who We Are,,,Who We Are,11,text,"With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan universities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and integrity and apply classroom knowledge in service to society. Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a commitment to problem-based learning that challenges students to apply their knowledge during the learning process.",104,5,Campus Life & DKU Identity,5.2195,9.3045,p0019|p0022|p0009|p0005|p0007,0.848|0.835|0.823|0.783|0.781,0.899399995803833
p0009,Part 1: General Information,1,P1 General Information,Who We Are,,,Who We Are,11,text,"As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment. The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens.",75,5,Campus Life & DKU Identity,5.4151,9.0003,p0005|p0022|p0008|p0019|p0001,0.848|0.831|0.823|0.807|0.793,0.9023000001907349
p0010,Part 1: General Information,1,P1 General Information,Who We Are,,,Who We Are,11,text,"Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years.",149,5,Campus Life & DKU Identity,5.3096,9.3633,p0005|p0007|p0004|p0001|p0008,0.643|0.631|0.614|0.601|0.589,0.7627000212669373
